Method,Perf
Greedy,0.7671
SCITE,1.0
SiFit,0.9093
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.9621
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.8969
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.935
FCNN-3,0.8566
GNN-4,0.9836
Greedy,0.8307
SCITE,1.0
SiFit,0.9486
FCNN-3,1.0
GNN-4,1.0
Greedy,0.9717
SCITE,1.0
SiFit,0.8543
FCNN-3,1.0
GNN-4,1.0
Greedy,0.985
SCITE,1.0
SiFit,0.9144
FCNN-3,0.8962
GNN-4,0.9102
Greedy,0.7707
SCITE,1.0
SiFit,0.9202
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.6909
FCNN-3,0.989
GNN-4,0.9612
Greedy,0.989
SCITE,1.0
SiFit,0.8354
FCNN-3,0.8624
GNN-4,0.9343
Greedy,0.7663
SCITE,1.0
SiFit,0.9467
FCNN-3,1.0
GNN-4,0.9836
Greedy,0.9228
SCITE,1.0
SiFit,0.9121
FCNN-3,0.9282
GNN-4,1.0
Greedy,0.9555
SCITE,1.0
SiFit,0.8885
FCNN-3,0.8344
GNN-4,0.8344
Greedy,0.8344
SCITE,1.0
SiFit,0.9195
FCNN-3,1.0
GNN-4,1.0
Greedy,0.9363
SCITE,1.0
SiFit,0.9228
FCNN-3,1.0
GNN-4,0.9763
Greedy,0.9351
SCITE,1.0
SiFit,0.8377
FCNN-3,0.9472
GNN-4,0.9065
Greedy,0.8275
SCITE,1.0
SiFit,0.8966
FCNN-3,1.0
GNN-4,0.9724
Greedy,1.0
SCITE,1.0
SiFit,0.7514
FCNN-3,1.0
GNN-4,0.9894
Greedy,0.8939
SCITE,1.0
SiFit,0.9265
FCNN-3,1.0
GNN-4,0.8853
Greedy,0.846
SCITE,1.0
SiFit,1.0
FCNN-3,1.0
GNN-4,0.9822
Greedy,1.0
SCITE,1.0
SiFit,0.7303
FCNN-3,0.9135
GNN-4,0.8092
Greedy,0.9135
SCITE,1.0
SiFit,0.8764
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.9072
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.7452
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.985
FCNN-3,0.9919
GNN-4,0.9919
Greedy,0.9919
SCITE,1.0
SiFit,0.8898
FCNN-3,0.8271
GNN-4,0.6114
Greedy,0.7307
SCITE,1.0
SiFit,0.9508
FCNN-3,0.9008
GNN-4,0.729
Greedy,0.7994
SCITE,1.0
SiFit,0.9628
FCNN-3,0.9863
GNN-4,0.779
Greedy,0.9863
SCITE,1.0
SiFit,0.9287
FCNN-3,0.8456
GNN-4,0.9483
Greedy,0.8456
SCITE,1.0
SiFit,0.9292
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.7911
FCNN-3,0.9687
GNN-4,1.0
Greedy,0.9687
SCITE,1.0
SiFit,0.9089
FCNN-3,1.0
GNN-4,0.9582
Greedy,0.8273
SCITE,1.0
SiFit,0.9512
FCNN-3,0.9156
GNN-4,0.9519
Greedy,0.9156
SCITE,1.0
SiFit,0.9045
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.4446
FCNN-3,0.9541
GNN-4,0.9806
Greedy,0.9541
SCITE,1.0
SiFit,0.8918
FCNN-3,0.9452
GNN-4,0.8891
Greedy,0.9109
SCITE,1.0
SiFit,0.958
