Method,Num_Mut,Perf
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.9574
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9785
Greedy,12,0.8086
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.993
Greedy,7,0.9298
GNN,10,0.9862
Greedy,10,0.8386
GNN,12,0.9333
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8457
GNN,10,0.9192
Greedy,10,0.8231
GNN,12,0.9512
Greedy,12,0.9512
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9466
Greedy,12,1.0
GNN,5,1.0
Greedy,5,0.7567
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9124
Greedy,10,1.0
GNN,12,0.9635
Greedy,12,0.852
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8839
Greedy,10,0.8267
GNN,12,0.9783
Greedy,12,0.9348
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8529
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9762
Greedy,12,0.9048
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.994
Greedy,12,0.8402
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8775
GNN,10,1.0
Greedy,10,0.8478
GNN,12,0.9667
Greedy,12,0.8571
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9048
GNN,10,0.983
Greedy,10,0.8372
GNN,12,0.9262
Greedy,12,0.8278
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9392
Greedy,7,1.0
GNN,10,0.9714
Greedy,10,0.9429
GNN,12,0.9808
Greedy,12,0.9211
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9355
GNN,10,0.807
Greedy,10,1.0
GNN,12,0.9777
Greedy,12,0.898
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.871
GNN,10,1.0
Greedy,10,0.963
GNN,12,1.0
Greedy,12,0.9333
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9592
Greedy,10,0.8367
GNN,12,0.9622
Greedy,12,0.8103
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9524
GNN,10,0.9739
Greedy,10,0.7671
GNN,12,0.9928
Greedy,12,0.8824
GNN,5,1.0
Greedy,5,0.9412
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.988
Greedy,12,0.7822
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.95
GNN,10,0.9939
Greedy,10,0.7543
GNN,12,0.9296
Greedy,12,0.7564
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8178
GNN,10,1.0
Greedy,10,0.773
GNN,12,0.771
Greedy,12,0.771
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9526
Greedy,10,0.8409
GNN,12,0.7412
Greedy,12,0.7902
GNN,5,0.927
Greedy,5,0.9635
GNN,7,1.0
Greedy,7,0.8762
GNN,10,1.0
Greedy,10,0.9412
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9683
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9701
Greedy,12,0.8525
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9412
GNN,12,0.7654
Greedy,12,0.7654
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9444
GNN,10,1.0
Greedy,10,0.9333
GNN,12,0.8747
Greedy,12,0.8178
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9512
Greedy,10,0.9756
GNN,12,0.9862
Greedy,12,0.7493
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8667
GNN,10,1.0
Greedy,10,0.8801
GNN,12,0.9886
Greedy,12,1.0
GNN,5,0.9668
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.931
Greedy,10,0.931
GNN,12,1.0
Greedy,12,0.9298
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9857
Greedy,10,0.9216
GNN,12,0.9826
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9808
Greedy,7,1.0
GNN,10,0.9631
Greedy,10,0.973
GNN,12,1.0
Greedy,12,0.9583
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.8635
Greedy,7,0.8148
GNN,10,1.0
Greedy,10,0.8374
GNN,12,0.9896
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8218
GNN,10,0.9715
Greedy,10,0.7694
GNN,12,1.0
Greedy,12,0.973
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.913
GNN,10,0.9865
Greedy,10,1.0
GNN,12,0.9016
Greedy,12,0.7251
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
