feature_index,importance
0,0.081430145
1,0.0881488
2,0.0027396558
3,0.0005436656
4,0.016483083
5,0.009040638
6,0.0014409268
7,0.00030312178
8,0.0004020381
9,0.0031622185
10,0.0006978097
11,0.0009140378
12,0.002211129
13,0.00020080131
14,0.00058799045
15,0.0031143404
16,0.0009541152
17,2.3129597
18,0.00033106867
19,0.0012805287
20,0.0007271608
21,0.0013833703
22,0.0010097774
23,0.0005340236
24,0.00074117223
25,0.0012337953
26,0.0078944
27,0.0020728577
28,0.002043519
29,0.0055689784
30,0.0036002253
31,0.0066769016
32,2.6809685
