Method,Num_Mut,Perf
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.9574
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9746
Greedy,12,0.8086
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9789
Greedy,7,0.9298
GNN,10,0.8763
Greedy,10,0.8386
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8457
GNN,10,0.8231
Greedy,10,0.8231
GNN,12,1.0
Greedy,12,0.9512
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,0.7567
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.852
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8267
Greedy,10,0.8267
GNN,12,0.9348
Greedy,12,0.9348
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8529
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9048
Greedy,12,0.9048
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.918
Greedy,12,0.8402
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8775
GNN,10,0.913
Greedy,10,0.8478
GNN,12,0.9524
Greedy,12,0.8571
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9048
GNN,10,0.8372
Greedy,10,0.8372
GNN,12,0.8278
Greedy,12,0.8278
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9429
GNN,12,0.9211
Greedy,12,0.9211
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9355
GNN,10,1.0
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.898
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.871
Greedy,7,0.871
GNN,10,1.0
