Model,Perf
FCNN-1,0.8225
FCNN-2,1.0
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.6282
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,1.0
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.9766
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.3987
FCNN-3,1.0
GNN-1,0.7203
GNN-2,0.2797
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.3252
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.0
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.639
FCNN-3,1.0
GNN-1,0.9341
GNN-2,0.4097
GNN-3,0.9341
GNN-4,1.0
FCNN-1,0.7725
FCNN-2,0.8333
FCNN-3,1.0
GNN-1,0.9392
GNN-2,0.6508
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,1.0
FCNN-3,1.0
GNN-1,0.27
GNN-2,0.27
GNN-3,0.4599
GNN-4,1.0
FCNN-1,0.8921
FCNN-2,0.5394
FCNN-3,1.0
GNN-1,0.9606
GNN-2,0.7843
GNN-3,0.8921
GNN-4,1.0
FCNN-1,0.7485
FCNN-2,0.2515
FCNN-3,1.0
GNN-1,0.9541
GNN-2,0.5828
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.4525
FCNN-3,1.0
GNN-1,0.8175
GNN-2,1.0
GNN-3,0.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.3829
FCNN-3,1.0
GNN-1,0.5949
GNN-2,0.2529
GNN-3,0.6803
GNN-4,1.0
FCNN-1,0.8295
FCNN-2,0.8295
FCNN-3,1.0
GNN-1,0.8779
GNN-2,0.3579
GNN-3,0.8125
GNN-4,0.9673
FCNN-1,0.747
FCNN-2,0.5863
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.4137
GNN-3,0.8273
GNN-4,1.0
FCNN-1,0.9401
FCNN-2,0.4726
FCNN-3,1.0
GNN-1,0.9401
GNN-2,0.8801
GNN-3,0.9401
GNN-4,0.98
FCNN-1,0.9232
FCNN-2,0.7467
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.0
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.0
FCNN-3,0.0
GNN-1,1.0
GNN-2,0.0
GNN-3,1.0
GNN-4,0.0
FCNN-1,0.9686
FCNN-2,0.3438
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.3438
GNN-3,0.9141
GNN-4,1.0
FCNN-1,0.8783
FCNN-2,0.0317
FCNN-3,1.0
GNN-1,0.5134
GNN-2,0.0
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.2938
FCNN-2,0.5675
FCNN-3,1.0
GNN-1,0.0237
GNN-2,0.5675
GNN-3,0.9088
GNN-4,1.0
FCNN-1,0.8877
FCNN-2,0.0606
FCNN-3,1.0
GNN-1,0.8877
GNN-2,0.8877
GNN-3,0.959
GNN-4,0.959
FCNN-1,0.9091
FCNN-2,0.57
FCNN-3,1.0
GNN-1,0.9091
GNN-2,0.0
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.5675
FCNN-2,0.75
FCNN-3,1.0
GNN-1,0.8175
GNN-2,0.1825
GNN-3,0.9088
GNN-4,1.0
FCNN-1,0.8877
FCNN-2,0.9697
FCNN-3,1.0
GNN-1,0.8877
GNN-2,0.3975
GNN-3,1.0
GNN-4,0.9697
FCNN-1,1.0
FCNN-2,0.7041
FCNN-3,1.0
GNN-1,0.8164
GNN-2,0.4795
GNN-3,0.6738
GNN-4,0.959
FCNN-1,0.8996
FCNN-2,0.6245
FCNN-3,1.0
GNN-1,0.8996
GNN-2,0.2008
GNN-3,0.6245
GNN-4,1.0
FCNN-1,0.8842
FCNN-2,0.6526
FCNN-3,1.0
GNN-1,0.9577
GNN-2,0.6526
GNN-3,0.9155
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.3624
FCNN-3,1.0
GNN-1,0.8624
GNN-2,0.5371
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.9479
FCNN-2,0.3764
FCNN-3,1.0
GNN-1,0.8957
GNN-2,0.5714
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.3333
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.0
GNN-3,0.6667
GNN-4,1.0
FCNN-1,0.9498
FCNN-2,0.5
FCNN-3,1.0
GNN-1,0.9498
GNN-2,0.3996
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.3236
FCNN-3,1.0
GNN-1,0.7157
GNN-2,0.0394
GNN-3,0.8236
GNN-4,0.9606
FCNN-1,0.0664
FCNN-2,0.0
FCNN-3,1.0
GNN-1,0.0721
GNN-2,0.1385
GNN-3,0.036
GNN-4,1.0
FCNN-1,0.8392
FCNN-2,0.4405
FCNN-3,1.0
GNN-1,0.5595
GNN-2,0.2797
GNN-3,0.8392
GNN-4,1.0
FCNN-1,0.8212
FCNN-2,0.3929
FCNN-3,1.0
GNN-1,0.8212
GNN-2,0.4761
GNN-3,0.869
GNN-4,1.0
FCNN-1,0.8333
FCNN-2,0.3333
FCNN-3,1.0
GNN-1,0.8333
GNN-2,0.5
GNN-3,0.8333
GNN-4,1.0
FCNN-1,0.7768
FCNN-2,1.0
FCNN-3,1.0
GNN-1,0.7768
GNN-2,0.8929
GNN-3,0.5535
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.6748
FCNN-3,1.0
GNN-1,0.6505
GNN-2,0.8374
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.5316
FCNN-2,0.4684
FCNN-3,1.0
GNN-1,0.9145
GNN-2,0.2342
GNN-3,0.9145
GNN-4,1.0
FCNN-1,0.8436
FCNN-2,0.7143
FCNN-3,1.0
GNN-1,0.9479
GNN-2,0.61
GNN-3,0.8571
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.6029
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.4521
GNN-3,0.9043
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.3439
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.4756
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,1.0
FCNN-3,0.0
GNN-1,1.0
GNN-2,0.0
GNN-3,1.0
GNN-4,0.0
FCNN-1,0.6803
FCNN-2,0.1042
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.0445
GNN-3,0.6803
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.3615
FCNN-3,1.0
GNN-1,0.723
GNN-2,0.8615
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.0
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.0
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.635
FCNN-2,1.0
FCNN-3,1.0
GNN-1,0.635
GNN-2,0.635
GNN-3,0.0875
GNN-4,1.0
FCNN-1,0.9307
FCNN-2,0.5693
FCNN-3,1.0
GNN-1,0.8615
GNN-2,0.0693
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.8007
FCNN-2,0.0
FCNN-3,1.0
GNN-1,0.619
GNN-2,0.1993
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.6
FCNN-2,0.4
FCNN-3,1.0
GNN-1,0.727
GNN-2,0.127
GNN-3,0.727
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.25
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.75
GNN-3,0.75
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.2857
FCNN-3,1.0
GNN-1,0.8571
GNN-2,0.6486
GNN-3,0.8571
GNN-4,1.0
FCNN-1,0.557
FCNN-2,0.0
FCNN-3,1.0
GNN-1,0.9309
GNN-2,0.0935
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.9469
FCNN-2,0.8546
FCNN-3,1.0
GNN-1,0.9292
GNN-2,0.3877
GNN-3,0.9646
GNN-4,1.0
FCNN-1,0.8889
FCNN-2,0.3633
FCNN-3,1.0
GNN-1,0.9594
GNN-2,0.8483
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.9368
FCNN-2,0.0
FCNN-3,1.0
GNN-1,0.7026
GNN-2,0.1487
GNN-3,0.9368
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.895
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.2157
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.7717
FCNN-2,0.1733
FCNN-3,1.0
GNN-1,0.7717
GNN-2,0.1733
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.8624
FCNN-2,0.5502
FCNN-3,1.0
GNN-1,0.9498
GNN-2,0.1376
GNN-3,1.0
GNN-4,1.0
