ladd_idx,perf_gnn,perf_feat
0.8,0.7957131047139024,0.7390531643386787
0.625,0.9689001608400959,0.9399636363273018
0.5714285714285714,0.9930404556362731,0.8160003414889015
0.75,1.0,1.0
0.7777777777777778,0.8866087214499239,1.0
0.75,0.7298370805986263,0.8823843321344904
0.6666666666666666,0.8318978633692004,1.0
0.42857142857142855,1.0,1.0
0.5,0.9931587299742238,0.8619499792857547
0.625,0.882153885865354,0.983517249511245
0.6666666666666666,0.9823065505280804,0.9721375231781747
0.7777777777777778,1.0,1.0
0.6666666666666666,0.9391586614581164,0.8631501668318687
0.42857142857142855,0.8473343770658344,0.9999996943990078
0.5714285714285714,0.982206800346254,0.9999999495673233
0.6666666666666666,0.9381279064090445,0.9750476726673689
0.2,1.0,1.0
0.625,1.0,1.0
0.5714285714285714,0.9945978984438284,0.8945682939965426
0.75,0.9390430111063992,0.9917700009227128
0.5714285714285714,1.0,1.0
0.5,0.9226380368092534,1.0
0.42857142857142855,0.9894283783872562,0.9342503471245743
0.7777777777777778,0.8419004685944586,1.0
0.42857142857142855,1.0,1.0
0.6666666666666666,1.0,1.0
0.625,0.898979767600099,0.9043293148963447
0.8,0.9982409438937451,0.9629528681195889
0.7142857142857143,0.9062090047880735,0.9802116607862082
0.625,1.0,1.0
0.625,1.0,1.0
0.6666666666666666,0.9520558032386098,0.9760277839628737
0.6666666666666666,0.9999998902125101,0.9999998902125101
0.9090909090909091,0.9059688370396315,1.0
0.2857142857142857,1.0,0.9243255838072546
0.875,0.9758289415971558,0.993013647691417
0.5,0.9894573977260651,1.0
0.42857142857142855,0.9999999359459233,0.9999999359459233
0.5714285714285714,1.0,1.0
0.5,0.6909904008750647,1.0
0.8,0.669474591807799,0.9094408047305643
0.6666666666666666,0.6019267684656125,0.7509671517639963
0.6666666666666666,0.9892741527593043,1.0
0.6666666666666666,0.981462387562778,0.8966562305808107
0.42857142857142855,0.8541302977230818,1.0
0.5,0.7952633137687809,1.0
0.625,0.9407332015189283,0.9792173823120283
0.9,1.0,1.0
0.2,1.0,1.0
0.625,1.0,1.0
0.6666666666666666,0.9474814310443289,0.872275365982493
0.6666666666666666,0.9315953987441847,1.0
0.6666666666666666,1.0,0.8792022363401593
0.42857142857142855,0.8989979645326419,1.0
0.5714285714285714,0.9366519330032836,1.0
0.6666666666666666,0.884849561715383,1.0
0.5,0.8933104105343807,0.9682945146974882
0.625,0.9251473211325796,0.9227006347863259
0.625,0.8765494848114577,0.9999999215801717
0.16666666666666666,1.0,1.0
0.7142857142857143,0.9901613718806522,1.0
0.8,0.9467795454618836,1.0
0.5,0.9713770113006465,1.0
0.42857142857142855,1.0,0.9901270695230984
0.42857142857142855,0.9999997275719387,1.0
0.8,0.647103696034651,1.0
0.75,1.0,1.0
0.8,0.7502591196807651,0.7648553737922599
0.3333333333333333,1.0,1.0
0.5714285714285714,0.9999996884152129,1.0
0.75,1.0,0.9627478643478595
0.5,0.9999996166864916,0.954149529157781
0.7777777777777778,1.0,1.0
