Method,Beta,Perf
GNN-4,0.4,0.0738
Greedy,0.4,0.0114
SCITE,0.4,0.0948
FCNN-3,0.4,-0.2883
GNN-4,0.4,-0.2164
Greedy,0.4,-0.2883
SCITE,0.4,-0.2164
FCNN-3,0.4,0.1917
GNN-4,0.4,0.1357
Greedy,0.4,0.1179
SCITE,0.4,0.3393
FCNN-3,0.4,0.0393
GNN-4,0.4,0.0666
Greedy,0.4,-0.2105
SCITE,0.4,0.113
FCNN-3,0.4,0.0423
GNN-4,0.4,0.0423
Greedy,0.4,-0.2187
SCITE,0.4,0.1123
FCNN-3,0.4,0.1057
GNN-4,0.4,0.0096
Greedy,0.4,0.1057
SCITE,0.4,0.1057
FCNN-3,0.4,-0.0573
GNN-4,0.4,0.0155
Greedy,0.4,-0.1032
SCITE,0.4,0.0613
FCNN-3,0.4,-0.0098
GNN-4,0.4,0.0145
Greedy,0.4,-0.1437
SCITE,0.4,0.0513
FCNN-3,0.4,-0.2239
GNN-4,0.4,-0.2239
Greedy,0.4,-0.2239
SCITE,0.4,-0.2239
FCNN-3,0.4,0.2035
GNN-4,0.4,0.0812
Greedy,0.4,0.0578
SCITE,0.4,0.2519
FCNN-3,0.4,-0.289
GNN-4,0.4,-0.2704
Greedy,0.4,-0.2797
SCITE,0.4,-0.0451
FCNN-3,0.4,0.1034
GNN-4,0.4,0.1034
Greedy,0.4,0.1034
SCITE,0.4,0.1034
FCNN-3,0.4,-0.0935
GNN-4,0.4,-0.4499
Greedy,0.4,-0.1461
SCITE,0.4,-0.0273
FCNN-3,0.4,0.23
GNN-4,0.4,0.1164
Greedy,0.4,0.2441
SCITE,0.4,0.2583
FCNN-3,0.4,-0.4898
GNN-4,0.4,-0.3129
Greedy,0.4,-0.4898
SCITE,0.4,-0.1954
FCNN-3,0.4,-0.0817
GNN-4,0.4,-0.0598
Greedy,0.4,-0.6457
SCITE,0.4,0.063
FCNN-3,0.4,-0.0964
GNN-4,0.4,-0.2604
Greedy,0.4,-0.0964
SCITE,0.4,0.0872
FCNN-3,0.4,0.1017
GNN-4,0.4,0.0566
Greedy,0.4,0.072
SCITE,0.4,0.1017
FCNN-3,0.4,-0.0155
GNN-4,0.4,-0.0485
Greedy,0.4,-0.0378
SCITE,0.4,0.0522
FCNN-3,0.4,0.0143
GNN-4,0.4,-0.1673
Greedy,0.4,-0.06
SCITE,0.4,0.0143
FCNN-3,0.4,0.3055
GNN-4,0.4,0.2105
Greedy,0.4,0.2344
SCITE,0.4,0.3055
FCNN-3,0.4,0.0445
GNN-4,0.4,-0.0703
Greedy,0.4,-0.2737
SCITE,0.4,0.0445
FCNN-3,0.4,0.0334
GNN-4,0.4,-0.0389
Greedy,0.4,-0.4075
SCITE,0.4,0.0417
FCNN-3,0.4,0.0302
GNN-4,0.4,0.0924
Greedy,0.4,-0.0321
SCITE,0.4,0.1239
FCNN-3,0.4,-0.1275
GNN-4,0.4,0.0338
Greedy,0.4,-0.1275
SCITE,0.4,0.0996
FCNN-3,0.4,-0.1884
GNN-4,0.4,-0.0513
Greedy,0.4,-0.6603
SCITE,0.4,-0.017
FCNN-3,0.4,0.1323
GNN-4,0.4,0.0596
Greedy,0.4,0.1323
SCITE,0.4,0.1323
FCNN-3,0.4,0.0619
GNN-4,0.4,0.0619
Greedy,0.4,0.0619
SCITE,0.4,0.1494
FCNN-3,0.4,-0.0214
GNN-4,0.4,-0.0305
Greedy,0.4,-0.0293
SCITE,0.4,0.165
FCNN-3,0.4,-0.1033
GNN-4,0.4,-0.0731
Greedy,0.4,-0.3194
SCITE,0.4,0.0707
FCNN-3,0.4,0.0688
GNN-4,0.4,-0.0286
Greedy,0.4,-0.0192
SCITE,0.4,0.0688
FCNN-3,0.4,0.3713
GNN-4,0.4,0.3131
Greedy,0.4,0.3482
SCITE,0.4,0.3713
FCNN-3,0.4,0.1727
GNN-4,0.4,0.1077
Greedy,0.4,0.1727
SCITE,0.4,0.1727
FCNN-3,0.4,0.1264
GNN-4,0.4,0.1264
Greedy,0.4,0.1264
SCITE,0.4,0.1501
FCNN-3,0.4,0.1487
GNN-4,0.4,-0.046
Greedy,0.4,0.1487
SCITE,0.4,0.1874
FCNN-3,0.4,-0.0862
GNN-4,0.4,-0.077
Greedy,0.4,-0.0862
SCITE,0.4,-0.0064
FCNN-3,0.4,-0.1982
GNN-4,0.4,-0.0997
Greedy,0.4,-0.1982
SCITE,0.4,0.0284
FCNN-3,0.4,0.1758
GNN-4,0.4,-0.0741
Greedy,0.4,0.1758
SCITE,0.4,0.1758
FCNN-3,0.4,0.0614
GNN-4,0.4,0.0614
Greedy,0.4,-0.1369
SCITE,0.4,0.0614
FCNN-3,0.4,0.1162
GNN-4,0.4,0.0721
Greedy,0.4,-0.1537
SCITE,0.4,0.1598
FCNN-3,0.4,-0.0614
GNN-4,0.4,-0.2083
Greedy,0.4,-0.336
SCITE,0.4,0.133
FCNN-3,0.4,-0.0175
GNN-4,0.4,-0.1141
Greedy,0.4,-0.0175
SCITE,0.4,-0.0175
FCNN-3,0.4,-0.3148
GNN-4,0.4,-0.1248
Greedy,0.4,-0.8975
SCITE,0.4,-0.0304
FCNN-3,0.4,-0.054
GNN-4,0.4,-0.234
Greedy,0.4,-0.054
SCITE,0.4,0.0357
FCNN-3,0.4,-0.1221
GNN-4,0.4,-0.095
Greedy,0.4,-0.1221
SCITE,0.4,0.0319
FCNN-3,0.4,0.2033
GNN-4,0.4,0.1488
Greedy,0.4,0.2033
SCITE,0.4,0.2033
FCNN-3,0.4,-0.1669
GNN-4,0.4,-0.1038
Greedy,0.4,-0.1982
SCITE,0.4,0.0295
FCNN-3,0.4,-0.1176
GNN-4,0.4,-0.1638
Greedy,0.4,-0.1176
SCITE,0.4,-0.1176
FCNN-3,0.4,0.1746
GNN-4,0.4,0.163
Greedy,0.4,0.0731
SCITE,0.4,0.1746
FCNN-3,0.4,-0.5162
GNN-4,0.4,-0.2157
Greedy,0.4,-0.5162
SCITE,0.4,-0.1783
FCNN-3,0.4,0.2141
GNN-4,0.4,0.1853
Greedy,0.4,0.2285
SCITE,0.4,0.2285
FCNN-3,0.4,-0.1887
GNN-4,0.4,-0.0245
Greedy,0.4,-0.1887
SCITE,0.4,0.0697
FCNN-3,0.4,0.1969
GNN-4,0.4,0.14
Greedy,0.4,0.1122
SCITE,0.4,0.1969
FCNN-3,0.4,-0.0158
GNN-4,0.4,-0.1069
Greedy,0.4,-0.0323
SCITE,0.4,0.0007
FCNN-3,0.4,0.0618
GNN-4,0.4,0.0967
Greedy,0.4,0.1105
SCITE,0.4,0.2152
FCNN-3,0.4,0.148
GNN-4,0.4,0.148
Greedy,0.4,0.148
SCITE,0.4,0.1481
FCNN-3,0.4,0.0163
GNN-4,0.4,-0.0957
Greedy,0.4,-0.0085
SCITE,0.4,0.0539
FCNN-3,0.4,-0.0298
GNN-4,0.4,-0.19
Greedy,0.4,0.0005
SCITE,0.4,0.0005
FCNN-3,0.4,-0.0852
GNN-4,0.4,-0.2523
Greedy,0.4,-0.3884
SCITE,0.4,0.003
FCNN-3,0.4,0.2042
GNN-4,0.4,-0.1068
Greedy,0.4,0.2042
SCITE,0.4,0.2193
FCNN-3,0.4,0.128
GNN-4,0.4,0.128
Greedy,0.4,0.128
SCITE,0.4,0.128
FCNN-3,0.4,0.3424
GNN-4,0.4,0.3322
Greedy,0.4,0.3322
SCITE,0.4,0.3322
FCNN-3,0.4,-0.0368
GNN-4,0.4,-0.0748
Greedy,0.4,-0.1417
SCITE,0.4,-0.0368
FCNN-3,0.4,0.2764
GNN-4,0.4,0.2415
Greedy,0.4,0.2764
SCITE,0.4,0.2764
FCNN-3,0.4,-0.0325
GNN-4,0.4,0.0257
Greedy,0.4,-0.4998
SCITE,0.4,0.0408
FCNN-3,0.4,-0.0199
GNN-4,0.4,0.1142
Greedy,0.4,0.0213
SCITE,0.4,0.1142
FCNN-3,0.4,0.1425
GNN-4,0.4,0.1354
Greedy,0.4,0.0908
SCITE,0.4,0.1799
FCNN-3,0.4,0.0672
GNN-4,0.4,-0.0242
Greedy,0.4,0.0672
SCITE,0.4,0.0672
FCNN-3,0.4,0.1483
GNN-4,0.4,-0.0341
Greedy,0.4,0.1483
SCITE,0.4,0.1483
FCNN-3,0.4,0.1232
GNN-4,0.4,0.1232
Greedy,0.4,0.0755
SCITE,0.4,0.1232
FCNN-3,0.4,-0.2973
GNN-4,0.4,-0.1934
Greedy,0.4,-0.3179
SCITE,0.4,-0.007
FCNN-3,0.4,-0.0384
GNN-4,0.4,-0.2908
Greedy,0.4,-0.0049
SCITE,0.4,0.0286
FCNN-3,0.4,-0.0042
GNN-4,0.4,0.0332
Greedy,0.4,-0.2203
SCITE,0.4,0.0332
FCNN-3,0.4,0.1733
GNN-4,0.4,-0.067
Greedy,0.4,0.1733
SCITE,0.4,0.1733
FCNN-3,0.4,0.1722
GNN-4,0.4,0.1019
Greedy,0.4,0.1722
SCITE,0.4,0.1722
FCNN-3,0.4,-0.1115
GNN-4,0.4,-0.3049
Greedy,0.4,-0.1115
SCITE,0.4,-0.0626
FCNN-3,0.4,0.144
GNN-4,0.4,0.1722
Greedy,0.4,0.1151
SCITE,0.4,0.2011
FCNN-3,0.4,-0.2656
GNN-4,0.4,-0.0771
Greedy,0.4,-0.245
SCITE,0.4,0.0485
FCNN-3,0.4,0.0779
GNN-4,0.4,0.0896
Greedy,0.4,0.0671
SCITE,0.4,0.0896
FCNN-3,0.4,-0.2549
GNN-4,0.4,-0.088
Greedy,0.4,-0.3678
SCITE,0.4,0.1203
FCNN-3,0.4,-0.0146
GNN-4,0.4,-0.0733
Greedy,0.4,-0.0146
SCITE,0.4,-0.0146
FCNN-3,0.4,0.1602
GNN-4,0.4,-0.0818
Greedy,0.4,0.1602
SCITE,0.4,0.1602
FCNN-3,0.4,-0.0389
GNN-4,0.4,-0.1879
Greedy,0.4,-0.2303
SCITE,0.4,-0.0389
FCNN-3,0.4,0.1822
GNN-4,0.4,-0.0485
Greedy,0.4,0.153
SCITE,0.4,0.1822
FCNN-3,0.4,-0.2383
GNN-4,0.4,-0.3324
Greedy,0.4,-0.3317
SCITE,0.4,-0.0346
FCNN-3,0.4,-0.0258
GNN-4,0.4,0.0257
Greedy,0.4,-0.0258
SCITE,0.4,0.0257
FCNN-3,0.4,-0.0009
GNN-4,0.4,-0.1937
Greedy,0.4,-0.1697
SCITE,0.4,-0.0009
FCNN-3,0.4,0.0406
GNN-4,0.4,0.1498
Greedy,0.4,0.0546
SCITE,0.4,0.1769
FCNN-3,0.4,-0.1157
GNN-4,0.4,-0.1157
Greedy,0.4,-0.1538
SCITE,0.4,-0.1157
FCNN-3,0.4,0.1719
GNN-4,0.4,0.2347
Greedy,0.4,0.0913
SCITE,0.4,0.2525
FCNN-3,0.4,-0.2218
GNN-4,0.4,-0.1772
Greedy,0.4,-0.2218
SCITE,0.4,0.0287
FCNN-3,0.4,-0.0707
GNN-4,0.4,-0.754
Greedy,0.4,-0.1625
SCITE,0.4,-0.0301
FCNN-3,0.4,0.0935
GNN-4,0.4,0.1081
Greedy,0.4,-0.2427
SCITE,0.4,0.1151
FCNN-3,0.4,0.1171
GNN-4,0.4,0.0656
Greedy,0.4,0.1171
SCITE,0.4,0.1171
FCNN-3,0.4,-0.2751
GNN-4,0.4,-0.2535
Greedy,0.4,-0.5129
SCITE,0.4,-0.1014
FCNN-3,0.4,0.0546
GNN-4,0.4,-0.8059
Greedy,0.4,-0.3065
SCITE,0.4,0.1544
FCNN-3,0.4,-0.0068
GNN-4,0.4,-0.0072
Greedy,0.4,-0.1039
SCITE,0.4,0.133
FCNN-3,0.4,-0.1289
GNN-4,0.4,-0.2718
Greedy,0.4,-0.4799
SCITE,0.4,-0.1289
FCNN-3,0.4,0.0774
GNN-4,0.4,0.0769
Greedy,0.4,0.0622
SCITE,0.4,0.1078
FCNN-3,0.4,0.0195
GNN-4,0.4,0.0282
Greedy,0.4,-0.056
SCITE,0.4,0.0282
FCNN-3,0.5,0.1443
GNN-4,0.5,0.0156
Greedy,0.5,0.1443
SCITE,0.5,0.1443
FCNN-3,0.5,-0.0415
GNN-4,0.5,-0.1066
Greedy,0.5,-0.0577
SCITE,0.5,0.0029
FCNN-3,0.5,0.2954
GNN-4,0.5,0.288
Greedy,0.5,0.1863
SCITE,0.5,0.2954
FCNN-3,0.5,-0.3379
GNN-4,0.5,-0.6896
Greedy,0.5,-0.4495
SCITE,0.5,-0.3379
FCNN-3,0.5,-0.0783
GNN-4,0.5,-0.1424
Greedy,0.5,-0.0783
SCITE,0.5,-0.0486
FCNN-3,0.5,-0.0417
GNN-4,0.5,-0.0815
Greedy,0.5,-0.0648
SCITE,0.5,-0.0187
FCNN-3,0.5,0.2309
GNN-4,0.5,0.2309
Greedy,0.5,0.2309
SCITE,0.5,0.2436
FCNN-3,0.5,0.2433
GNN-4,0.5,0.2065
Greedy,0.5,0.2581
SCITE,0.5,0.3076
FCNN-3,0.5,0.2118
GNN-4,0.5,0.1938
Greedy,0.5,0.1519
SCITE,0.5,0.2118
FCNN-3,0.5,0.1198
GNN-4,0.5,-0.0023
Greedy,0.5,0.1198
SCITE,0.5,0.1158
FCNN-3,0.5,-0.1136
GNN-4,0.5,-0.2983
Greedy,0.5,-0.0322
SCITE,0.5,-0.0103
FCNN-3,0.5,0.084
GNN-4,0.5,0.084
Greedy,0.5,0.084
SCITE,0.5,0.084
FCNN-3,0.5,-0.0383
GNN-4,0.5,-0.0204
Greedy,0.5,-0.2971
SCITE,0.5,0.0309
FCNN-3,0.5,0.1194
GNN-4,0.5,0.142
Greedy,0.5,0.1906
SCITE,0.5,0.2654
FCNN-3,0.5,0.1527
GNN-4,0.5,-0.0444
Greedy,0.5,0.1527
SCITE,0.5,0.1527
FCNN-3,0.5,0.27
GNN-4,0.5,0.0777
Greedy,0.5,0.27
SCITE,0.5,0.27
FCNN-3,0.5,-0.1876
GNN-4,0.5,-0.1876
Greedy,0.5,-0.1876
SCITE,0.5,-0.1876
FCNN-3,0.5,-0.0833
GNN-4,0.5,-0.564
Greedy,0.5,-0.0969
SCITE,0.5,0.0316
FCNN-3,0.5,0.018
GNN-4,0.5,-0.0425
Greedy,0.5,0.0217
SCITE,0.5,0.0217
FCNN-3,0.5,-0.2125
GNN-4,0.5,-0.0738
Greedy,0.5,-0.2158
SCITE,0.5,-0.0078
FCNN-3,0.5,-0.1488
GNN-4,0.5,0.0435
Greedy,0.5,-0.1948
SCITE,0.5,0.1146
FCNN-3,0.5,0.2521
GNN-4,0.5,0.2835
Greedy,0.5,0.2521
SCITE,0.5,0.2835
FCNN-3,0.5,0.0633
GNN-4,0.5,0.0763
Greedy,0.5,0.0633
SCITE,0.5,0.1378
FCNN-3,0.5,-0.1276
GNN-4,0.5,-0.1827
Greedy,0.5,-0.1276
SCITE,0.5,-0.1276
FCNN-3,0.5,0.1471
GNN-4,0.5,-0.1788
Greedy,0.5,0.1471
SCITE,0.5,0.1471
FCNN-3,0.5,-0.5459
GNN-4,0.5,-0.3676
Greedy,0.5,-0.7955
SCITE,0.5,-0.2703
FCNN-3,0.5,0.0903
GNN-4,0.5,0.0647
Greedy,0.5,0.0606
SCITE,0.5,0.0903
FCNN-3,0.5,-0.0658
GNN-4,0.5,-0.1334
Greedy,0.5,-0.0658
SCITE,0.5,-0.0051
FCNN-3,0.5,0.0394
GNN-4,0.5,0.0394
Greedy,0.5,0.0004
SCITE,0.5,0.1268
FCNN-3,0.5,0.1573
GNN-4,0.5,0.1763
Greedy,0.5,0.1763
SCITE,0.5,0.1763
FCNN-3,0.5,0.0033
GNN-4,0.5,-0.2911
Greedy,0.5,0.0428
SCITE,0.5,0.0033
FCNN-3,0.5,-0.1117
GNN-4,0.5,-0.2713
Greedy,0.5,0.0051
SCITE,0.5,0.0051
FCNN-3,0.5,-0.0646
GNN-4,0.5,-0.1719
Greedy,0.5,-0.1078
SCITE,0.5,0.0178
FCNN-3,0.5,0.1596
GNN-4,0.5,0.1013
Greedy,0.5,0.2179
SCITE,0.5,0.2179
FCNN-3,0.5,0.2706
GNN-4,0.5,0.2224
Greedy,0.5,0.2706
SCITE,0.5,0.2706
FCNN-3,0.5,0.259
GNN-4,0.5,0.0616
Greedy,0.5,0.2399
SCITE,0.5,0.259
FCNN-3,0.5,-0.0468
GNN-4,0.5,-0.1775
Greedy,0.5,-0.0468
SCITE,0.5,-0.0355
FCNN-3,0.5,-0.0843
GNN-4,0.5,-0.1958
Greedy,0.5,-0.0843
SCITE,0.5,-0.0544
FCNN-3,0.5,0.203
GNN-4,0.5,0.1819
Greedy,0.5,0.203
SCITE,0.5,0.203
FCNN-3,0.5,0.1573
GNN-4,0.5,-0.0007
Greedy,0.5,0.0885
SCITE,0.5,0.1898
FCNN-3,0.5,0.0556
GNN-4,0.5,-0.0477
Greedy,0.5,-0.0477
SCITE,0.5,0.0774
FCNN-3,0.5,0.1341
GNN-4,0.5,0.043
Greedy,0.5,0.1389
SCITE,0.5,0.1693
FCNN-3,0.5,0.1245
GNN-4,0.5,0.0572
Greedy,0.5,0.1368
SCITE,0.5,0.1458
FCNN-3,0.5,-0.1732
GNN-4,0.5,-0.1732
Greedy,0.5,-0.048
SCITE,0.5,-0.0103
FCNN-3,0.5,-0.2983
GNN-4,0.5,-0.1596
Greedy,0.5,-0.3094
SCITE,0.5,-0.0351
FCNN-3,0.5,0.0668
GNN-4,0.5,-0.1132
Greedy,0.5,-0.0861
SCITE,0.5,0.1268
FCNN-3,0.5,-0.0869
GNN-4,0.5,0.0966
Greedy,0.5,-0.2419
SCITE,0.5,0.143
FCNN-3,0.5,0.3004
GNN-4,0.5,0.2871
Greedy,0.5,0.3004
SCITE,0.5,0.3004
FCNN-3,0.5,0.1634
GNN-4,0.5,0.113
Greedy,0.5,0.0986
SCITE,0.5,0.1829
FCNN-3,0.5,0.0598
GNN-4,0.5,0.0057
Greedy,0.5,0.0598
SCITE,0.5,0.0598
FCNN-3,0.5,0.0324
GNN-4,0.5,0.0324
Greedy,0.5,0.0324
SCITE,0.5,0.0324
FCNN-3,0.5,-0.1132
GNN-4,0.5,-0.2324
Greedy,0.5,-0.1351
SCITE,0.5,-0.1132
FCNN-3,0.5,-0.3163
GNN-4,0.5,-0.77
Greedy,0.5,-0.3507
SCITE,0.5,-0.3163
FCNN-3,0.5,0.0267
GNN-4,0.5,-0.0714
Greedy,0.5,0.0267
SCITE,0.5,0.0267
FCNN-3,0.5,0.1121
GNN-4,0.5,0.0206
Greedy,0.5,0.0664
SCITE,0.5,0.2278
FCNN-3,0.5,0.2571
GNN-4,0.5,0.1961
Greedy,0.5,0.203
SCITE,0.5,0.2734
FCNN-3,0.5,-0.0614
GNN-4,0.5,-0.3981
Greedy,0.5,-0.122
SCITE,0.5,0.0893
FCNN-3,0.5,-0.0487
GNN-4,0.5,-0.0289
Greedy,0.5,-0.3614
SCITE,0.5,0.1445
FCNN-3,0.5,-0.0644
GNN-4,0.5,-0.1864
Greedy,0.5,-0.0644
SCITE,0.5,-0.0386
FCNN-3,0.5,0.2392
GNN-4,0.5,0.2118
Greedy,0.5,0.2392
SCITE,0.5,0.3242
FCNN-3,0.5,-0.1169
GNN-4,0.5,-0.1926
Greedy,0.5,0.0005
SCITE,0.5,0.1356
FCNN-3,0.5,0.0389
GNN-4,0.5,-0.0824
Greedy,0.5,-0.0329
SCITE,0.5,0.0493
FCNN-3,0.5,-0.0299
GNN-4,0.5,-0.2949
Greedy,0.5,-0.1438
SCITE,0.5,0.0371
FCNN-3,0.5,-0.1668
GNN-4,0.5,-0.281
Greedy,0.5,-0.1491
SCITE,0.5,-0.0655
FCNN-3,0.5,0.2497
GNN-4,0.5,-0.0233
Greedy,0.5,0.229
SCITE,0.5,0.2497
FCNN-3,0.5,-0.5544
GNN-4,0.5,-0.5544
Greedy,0.5,-0.5544
SCITE,0.5,-0.5544
FCNN-3,0.5,0.0164
GNN-4,0.5,-0.1355
Greedy,0.5,-0.2023
SCITE,0.5,0.0164
FCNN-3,0.5,0.1139
GNN-4,0.5,0.0617
Greedy,0.5,0.1139
SCITE,0.5,0.1234
FCNN-3,0.5,-0.1056
GNN-4,0.5,-0.2304
Greedy,0.5,-0.2137
SCITE,0.5,0.0285
FCNN-3,0.5,0.0715
GNN-4,0.5,0.0143
Greedy,0.5,0.0594
SCITE,0.5,0.1409
FCNN-3,0.5,0.1214
GNN-4,0.5,0.0204
Greedy,0.5,0.0953
SCITE,0.5,0.1214
FCNN-3,0.5,-0.0611
GNN-4,0.5,-0.1776
Greedy,0.5,-0.0611
SCITE,0.5,0.046
FCNN-3,0.5,0.2122
GNN-4,0.5,0.1309
Greedy,0.5,0.0739
SCITE,0.5,0.23
FCNN-3,0.5,0.028
GNN-4,0.5,0.017
Greedy,0.5,0.028
SCITE,0.5,0.0798
FCNN-3,0.5,0.2769
GNN-4,0.5,0.0776
Greedy,0.5,0.2591
SCITE,0.5,0.2666
FCNN-3,0.5,0.0479
GNN-4,0.5,0.0156
Greedy,0.5,0.0479
SCITE,0.5,0.1232
FCNN-3,0.5,0.1699
GNN-4,0.5,0.0689
Greedy,0.5,0.1955
SCITE,0.5,0.221
FCNN-3,0.5,0.027
GNN-4,0.5,0.0039
Greedy,0.5,0.027
SCITE,0.5,0.0313
FCNN-3,0.5,-0.0458
GNN-4,0.5,0.0687
Greedy,0.5,-0.1532
SCITE,0.5,0.1045
FCNN-3,0.5,0.0298
GNN-4,0.5,-0.0802
Greedy,0.5,0.0235
SCITE,0.5,0.0298
FCNN-3,0.5,0.0877
GNN-4,0.5,0.0877
Greedy,0.5,0.1771
SCITE,0.5,0.1771
FCNN-3,0.5,0.2049
GNN-4,0.5,0.139
Greedy,0.5,0.2049
SCITE,0.5,0.2354
FCNN-3,0.5,0.0683
GNN-4,0.5,-0.0084
Greedy,0.5,-0.0646
SCITE,0.5,0.0722
FCNN-3,0.5,0.0422
GNN-4,0.5,0.0422
Greedy,0.5,-0.0409
SCITE,0.5,0.2096
FCNN-3,0.5,0.0066
GNN-4,0.5,-0.0396
Greedy,0.5,0.0728
SCITE,0.5,0.1471
FCNN-3,0.5,-0.2024
GNN-4,0.5,-0.3943
Greedy,0.5,-0.2244
SCITE,0.5,-0.1425
FCNN-3,0.5,0.1585
GNN-4,0.5,0.1585
Greedy,0.5,0.064
SCITE,0.5,0.1585
FCNN-3,0.5,0.2413
GNN-4,0.5,0.2116
Greedy,0.5,0.2116
SCITE,0.5,0.2413
FCNN-3,0.5,-0.079
GNN-4,0.5,0.0655
Greedy,0.5,-0.351
SCITE,0.5,0.0924
FCNN-3,0.5,0.0251
GNN-4,0.5,-0.3041
Greedy,0.5,-0.2918
SCITE,0.5,0.1151
FCNN-3,0.5,-0.1853
GNN-4,0.5,-0.1734
Greedy,0.5,-0.0112
SCITE,0.5,-0.0112
FCNN-3,0.5,0.0316
GNN-4,0.5,-0.0717
Greedy,0.5,0.0316
SCITE,0.5,0.0939
FCNN-3,0.5,0.1877
GNN-4,0.5,-0.0068
Greedy,0.5,0.2014
SCITE,0.5,0.2014
FCNN-3,0.5,0.2362
GNN-4,0.5,0.2062
Greedy,0.5,0.2672
SCITE,0.5,0.3573
FCNN-3,0.5,0.0901
GNN-4,0.5,0.0515
Greedy,0.5,0.0901
SCITE,0.5,0.0759
FCNN-3,0.5,-0.0063
GNN-4,0.5,-0.1049
Greedy,0.5,-0.0063
SCITE,0.5,-0.0272
FCNN-3,0.5,0.2396
GNN-4,0.5,0.1311
Greedy,0.5,0.1522
SCITE,0.5,0.2396
FCNN-3,0.5,0.0969
GNN-4,0.5,0.1142
Greedy,0.5,-0.0261
SCITE,0.5,0.2262
FCNN-3,0.5,0.1031
GNN-4,0.5,-0.1883
Greedy,0.5,0.1001
SCITE,0.5,0.1111
FCNN-3,0.5,0.3014
GNN-4,0.5,0.2267
Greedy,0.5,0.3014
SCITE,0.5,0.3014
