Method,Num_Mut,Perf
Extrapolated,7,1.0
Normal,10,0.9317
Extrapolated,10,1.0
Normal,12,0.9152
Extrapolated,12,0.9984
Normal,15,0.7758
Extrapolated,15,0.702
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,0.9825
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.9348
Extrapolated,12,1.0
Normal,15,0.9803
Extrapolated,15,0.6583
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,0.9703
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.8934
Extrapolated,12,0.9643
Normal,15,0.982
Extrapolated,15,0.9112
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,0.9244
Normal,15,1.0
Extrapolated,15,1.0
Normal,5,0.9606
Extrapolated,5,0.9606
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.8759
Extrapolated,12,0.9617
Normal,15,1.0
Extrapolated,15,0.6545
Normal,5,0.9213
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.8572
Extrapolated,10,0.9915
Normal,12,1.0
Extrapolated,12,0.972
Normal,15,1.0
Extrapolated,15,0.9844
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,0.9837
Extrapolated,7,1.0
Normal,10,0.9442
Extrapolated,10,0.8024
Normal,12,0.9811
Extrapolated,12,0.9353
Normal,15,0.886
Extrapolated,15,0.8839
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.9835
Extrapolated,10,0.9263
Normal,12,0.9659
Extrapolated,12,1.0
Normal,15,0.9855
Extrapolated,15,0.7493
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,0.9905
Extrapolated,7,0.9635
Normal,10,0.9453
Extrapolated,10,0.998
Normal,12,0.9084
Extrapolated,12,1.0
