Method,Num_Cells,Perf
GNN-4,12,0.9486
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,0.7834
Greedy,24,0.9243
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,0.9647
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,0.8437
GNN-4,48,0.856
Greedy,48,0.7372
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,0.9609
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.8436
GNN-4,12,0.8472
Greedy,12,0.8642
SCITE,12,1.0
FCNN-3,24,0.9932
GNN-4,24,0.9679
Greedy,24,0.9932
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,0.9934
Greedy,36,0.9623
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9832
Greedy,48,0.9654
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.9903
GNN-4,12,0.9869
Greedy,12,0.9509
SCITE,12,1.0
FCNN-3,24,0.951
GNN-4,24,1.0
Greedy,24,0.9619
SCITE,24,1.0
FCNN-3,36,0.918
GNN-4,36,0.9237
Greedy,36,0.8682
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9165
Greedy,48,1.0
SCITE,48,0.9944
FCNN-3,6,0.8842
GNN-4,6,1.0
Greedy,6,0.8107
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,0.9859
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,0.9899
Greedy,24,1.0
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,0.9748
GNN-4,48,0.9748
Greedy,48,0.9748
SCITE,48,1.0
FCNN-3,6,0.9213
GNN-4,6,0.822
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.9695
GNN-4,12,0.8772
Greedy,12,0.8688
SCITE,12,1.0
FCNN-3,24,0.9219
GNN-4,24,1.0
Greedy,24,0.8108
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,0.9066
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,0.9489
GNN-4,48,0.9487
Greedy,48,0.9489
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.9691
GNN-4,12,0.9822
Greedy,12,0.9691
SCITE,12,1.0
FCNN-3,24,0.8457
GNN-4,24,0.7728
Greedy,24,0.754
SCITE,24,1.0
FCNN-3,36,0.9431
GNN-4,36,1.0
Greedy,36,0.9353
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9981
Greedy,48,0.9481
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,0.9908
Greedy,6,0.796
SCITE,6,1.0
FCNN-3,12,0.8896
GNN-4,12,1.0
Greedy,12,0.8896
SCITE,12,1.0
FCNN-3,24,0.9312
GNN-4,24,0.9904
Greedy,24,0.8179
SCITE,24,1.0
FCNN-3,36,0.9822
GNN-4,36,0.9805
Greedy,36,0.9466
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9941
Greedy,48,0.9872
SCITE,48,1.0
FCNN-3,6,0.8789
GNN-4,6,1.0
Greedy,6,0.8465
SCITE,6,1.0
FCNN-3,12,0.984
GNN-4,12,0.9249
Greedy,12,0.9408
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,0.9085
Greedy,24,1.0
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9648
Greedy,48,1.0
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.9727
GNN-4,12,0.9489
Greedy,12,0.7309
SCITE,12,1.0
FCNN-3,24,0.775
GNN-4,24,0.6831
Greedy,24,0.775
SCITE,24,1.0
FCNN-3,36,0.9459
GNN-4,36,1.0
Greedy,36,0.9254
SCITE,36,1.0
FCNN-3,48,0.9542
GNN-4,48,0.9654
Greedy,48,0.8738
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,1.0
Greedy,24,1.0
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,0.7735
GNN-4,48,0.6794
Greedy,48,0.8007
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,24,0.8234
GNN-4,24,1.0
Greedy,24,0.8234
SCITE,24,1.0
FCNN-3,36,0.9761
GNN-4,36,1.0
Greedy,36,0.898
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9913
Greedy,48,1.0
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.9624
GNN-4,12,0.7038
Greedy,12,0.8277
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,1.0
Greedy,24,1.0
SCITE,24,1.0
FCNN-3,36,0.9473
GNN-4,36,0.9094
Greedy,36,0.8748
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.8745
Greedy,48,1.0
SCITE,48,1.0
FCNN-3,6,0.7682
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,0.9103
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,0.9757
Greedy,24,1.0
SCITE,24,1.0
FCNN-3,36,0.9801
GNN-4,36,0.9748
Greedy,36,0.9801
SCITE,36,1.0
FCNN-3,48,0.9029
GNN-4,48,0.9347
Greedy,48,0.7355
SCITE,48,1.0
FCNN-3,6,0.9797
GNN-4,6,0.9797
Greedy,6,0.8289
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,24,0.8756
GNN-4,24,0.8756
Greedy,24,0.8756
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,0.9547
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
Greedy,48,1.0
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,24,0.8242
GNN-4,24,0.7808
Greedy,24,0.7739
SCITE,24,1.0
FCNN-3,36,0.8657
GNN-4,36,0.9166
Greedy,36,0.8657
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.8861
Greedy,48,0.9013
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,0.8733
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,24,0.9016
GNN-4,24,0.8902
Greedy,24,0.717
SCITE,24,1.0
FCNN-3,36,0.8211
GNN-4,36,0.8419
Greedy,36,0.7778
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9167
Greedy,48,0.9326
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,24,0.8889
GNN-4,24,0.9886
Greedy,24,0.9846
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.957
Greedy,48,0.9909
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,0.9537
Greedy,12,0.8308
SCITE,12,1.0
FCNN-3,24,0.9386
GNN-4,24,1.0
Greedy,24,0.9386
SCITE,24,1.0
FCNN-3,36,0.969
GNN-4,36,0.9776
Greedy,36,0.9235
SCITE,36,1.0
FCNN-3,48,0.9849
GNN-4,48,0.9779
Greedy,48,0.9491
SCITE,48,1.0
FCNN-3,6,0.9265
GNN-4,6,1.0
Greedy,6,0.9265
SCITE,6,1.0
FCNN-3,12,0.8037
GNN-4,12,0.7789
Greedy,12,0.7789
SCITE,12,1.0
FCNN-3,24,0.9905
GNN-4,24,0.9834
Greedy,24,0.9905
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,0.988
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.994
Greedy,48,0.9776
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.9609
GNN-4,12,0.9149
Greedy,12,0.9609
SCITE,12,1.0
FCNN-3,24,0.9723
GNN-4,24,1.0
Greedy,24,0.8535
SCITE,24,1.0
FCNN-3,36,0.9613
GNN-4,36,0.9883
Greedy,36,0.9463
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9914
Greedy,48,0.995
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,0.918
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,1.0
Greedy,24,1.0
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,0.9657
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9682
Greedy,48,0.9785
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,0.9496
Greedy,24,1.0
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,0.9093
Greedy,36,0.9929
SCITE,36,1.0
FCNN-3,48,0.9475
GNN-4,48,0.9323
Greedy,48,0.9475
SCITE,48,1.0
FCNN-3,6,0.8357
GNN-4,6,1.0
Greedy,6,0.8357
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,0.9684
SCITE,12,1.0
FCNN-3,24,1.0
