Method,Num_Mut,Perf
Greedy,12,0.894
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9878
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.9574
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9545
Greedy,12,0.8086
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.8282
Greedy,7,0.9298
GNN,10,0.8383
Greedy,10,0.8386
GNN,12,0.7513
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9189
Greedy,7,0.8457
GNN,10,0.8971
Greedy,10,0.8231
GNN,12,0.9156
Greedy,12,0.9512
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9512
Greedy,12,1.0
GNN,5,1.0
Greedy,5,0.7567
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9854
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.852
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8211
Greedy,10,0.8267
GNN,12,0.9524
Greedy,12,0.9348
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8529
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9913
Greedy,12,0.9048
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9757
Greedy,10,1.0
GNN,12,0.6284
Greedy,12,0.8402
GNN,5,0.8957
Greedy,5,1.0
GNN,7,0.9544
Greedy,7,0.8775
GNN,10,1.0
Greedy,10,0.8478
GNN,12,0.9667
Greedy,12,0.8571
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9826
Greedy,7,0.9048
GNN,10,0.9915
Greedy,10,0.8372
GNN,12,0.8068
Greedy,12,0.8278
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9714
Greedy,10,0.9429
GNN,12,0.9904
Greedy,12,0.9211
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9355
GNN,10,0.96
Greedy,10,1.0
GNN,12,0.9592
Greedy,12,0.898
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9119
Greedy,7,0.871
GNN,10,1.0
Greedy,10,0.963
GNN,12,0.918
Greedy,12,0.9333
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.6194
Greedy,10,0.8367
GNN,12,0.7614
Greedy,12,0.8103
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9524
GNN,10,0.8957
Greedy,10,0.7671
GNN,12,0.9804
Greedy,12,0.8824
GNN,5,0.9571
Greedy,5,0.9412
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9357
Greedy,12,0.7822
GNN,5,1.0
