Method,Horizon,Perf
GNN-4,12,1.0
FCNN-3,12,0.9892
GNN-4,12,0.9784
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,0.8051
GNN-4,12,0.8676
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,0.9233
GNN-4,12,0.9729
FCNN-3,12,0.9851
GNN-4,12,0.9179
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,0.7681
GNN-4,12,0.7683
FCNN-3,12,0.983
GNN-4,12,0.9723
FCNN-3,12,1.0
GNN-4,12,0.9822
FCNN-3,12,1.0
GNN-4,12,0.9572
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,1.0
GNN-4,12,0.9958
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,0.9801
GNN-4,12,0.9581
FCNN-3,12,0.9028
GNN-4,12,0.6454
FCNN-3,12,0.9725
GNN-4,12,1.0
FCNN-3,12,1.0
GNN-4,12,0.7692
FCNN-3,12,1.0
GNN-4,12,0.9754
FCNN-3,12,0.9552
GNN-4,12,0.9199
FCNN-3,12,0.9717
GNN-4,12,0.9614
FCNN-3,12,0.8901
GNN-4,12,0.846
FCNN-3,12,0.9103
GNN-4,12,0.8643
FCNN-3,12,0.8687
GNN-4,12,0.9185
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,0.8226
GNN-4,12,0.8128
FCNN-3,12,0.8446
GNN-4,12,0.8984
FCNN-3,12,0.9762
GNN-4,12,1.0
FCNN-3,12,1.0
GNN-4,12,0.9654
FCNN-3,12,0.9815
GNN-4,12,0.9495
FCNN-3,12,1.0
GNN-4,12,0.9757
FCNN-3,12,0.863
GNN-4,12,0.7542
FCNN-3,12,1.0
GNN-4,12,0.9874
FCNN-3,12,0.8981
GNN-4,12,1.0
FCNN-3,12,0.8858
GNN-4,12,0.8872
FCNN-3,12,1.0
GNN-4,12,0.9847
FCNN-3,12,1.0
GNN-4,12,0.9353
FCNN-3,12,0.8657
GNN-4,12,0.9499
FCNN-3,12,1.0
GNN-4,12,0.9611
FCNN-3,12,1.0
GNN-4,12,0.8812
FCNN-3,12,0.9882
GNN-4,12,0.821
FCNN-3,12,0.8147
GNN-4,12,0.9405
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,0.8566
GNN-4,12,0.9836
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,0.8114
GNN-4,12,0.8673
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,0.989
GNN-4,12,0.9587
FCNN-3,12,0.8166
GNN-4,12,0.7801
FCNN-3,12,1.0
GNN-4,12,0.9836
FCNN-3,12,0.9282
GNN-4,12,0.9753
FCNN-3,12,0.8344
GNN-4,12,0.8344
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,1.0
GNN-4,12,0.9675
FCNN-3,12,0.9472
GNN-4,12,0.876
FCNN-3,12,1.0
GNN-4,12,0.9724
FCNN-3,12,1.0
GNN-4,12,0.9742
FCNN-3,12,0.9249
GNN-4,12,0.8853
FCNN-3,12,1.0
GNN-4,12,0.9822
FCNN-3,12,0.9135
GNN-4,12,0.8113
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
FCNN-3,12,1.0
GNN-4,12,0.9663
FCNN-3,12,0.9919
GNN-4,12,0.9919
FCNN-3,12,0.8043
